Medio;Dirección;Especialidad;Tipo de medio;Ciudad;Provincia;matched_especialidad;measure value
Revista Pilar City & Countries;Rivadavia 475 - (1629) Pilar - Bueno Aires, Argentina;Interés general;Revista;Pilar;Buenos Aires;Interés general;0
Revista Pilar City & Countries (Digital);Rivadavia 475 - (1629) Pilar - Bueno Aires, Argentina;Interés general;Digital;Pilar;Buenos Aires;Interés general;0
Revista Sport ;*;Deportes;Revista;San Nicolás de los Arroyos;Buenos Aires;Deportes;0
Rosario 3;*;Interés general;Digital;Rosario;Santa Fe;Interés general;0
Saber Vivir;Montevideo 205 - (1019) Ciudad Autónoma de Buenos Aires, Argentina;Salud;Digital;;Capital Federal;Salud;0
Salud & Vida OnLine ;*;Salud;Digital;;Capital Federal;Salud;0
Chispa;*;Interés general;Periódico;Rojas;Buenos Aires;Interés general;0
El 38 ;*;Interés general;Periódico;Roque Pérez;Buenos Aires;Interés general;0
Protagonistas ;Calle 14 Nº 671, Entre 27 y 29 - (6600) Mercedes - Buenos Aires, Argentina;Interés general;Periódico;Mercedes;Buenos Aires;Interés general;0
Primera Fila;*;Interés general;Periódico;Capitán Sarmiento;Buenos Aires;Interés general;0
El Argentino;*;Interés general;Periódico;Capitán Sarmiento;Buenos Aires;Interés general;0
Presente;Italia 1285 - (6700) Luján - Buenos Aires, Argentina;Interés general;Periódico;Luján;Buenos Aires;Interés general;0
Propuesta Decente;*;Interés general;Periódico;Capitán Sarmiento;Buenos Aires;Interés general;0
Servicio Sudamericano de Noticias ;Estrada 160, 10º Piso, Of. A - (5000) Córdoba - Córdoba, Argentina ;Salud;Agencia;;Capital Federal;Salud;0
Sin Mordaza;Saavedra 1443 - (3000) - Santa Fe - Santa Fe, Argentina;Interés general;Digital;Santa Fe;Santa Fe;Interés general;0
Sur54.com;*;Interés general;Digital;*;Tierra del Fuego;Interés general;0
Teconte.com.ar;*;Interés general;Digital;;Capital Federal;Interés general;0
Telam;Bolívar 531 - (1066) Ciudad Autónoma de Buenos Aires, Argentina;Interés general;Agencia;;Capital Federal;Interés general;0
Hoy;Bernardo de Irigoyen 14, Galería Concordia Local 8 - (3200) Concordia - Entre Ríos, Argentina;Interés general;Digital;Concordia;Entre Ríos;Interés general;0
Telecreativa Canal 5;*;Interés general;Agencia;*;Buenos Aires;Interés general;0
Telediariodigital.com.ar;*;Interés general;Digital;Río Cuarto;Córdoba;Interés general;0
Telefe;Pavón 2444 - (1248) Ciudad Autónoma de Buenos Aires, Argentina;Interés general;Televisión;;Capital Federal;Interés general;0
Terra Argentina;*;Interés general;Digital;;Capital Federal;Interés general;0
Tiempo Fueguino;Espora 781 - (9420) Río Grande - Tierra del Fuego, Argentina ;Interés general;Periódico;Río Grande;Tierra del Fuego;Interés general;0
Tiempo Fueguino (Digital);Espora 781 - (9420) Río Grande - Tierra del Fuego, Argentina ;Interés general;Digital;Río Grande;Tierra del Fuego;Interés general;0
Tiempo Pyme;Perú 420, 6º K - Ciudad Autónoma de Buenos Aires, Argentina ;Interés general;Digital;*;Buenos Aires;Interés general;0
Tigris;Avda. Santa María 6649, Of. 39 - (1648) Tigre - Buenos Aires, Argentina;Interés general;Revista;Tigre;Buenos Aires;Interés general;0
TN;Lima 1261 - (1138) Ciudad Autónoma de Buenos Aires, Argentina;Interés general;Televisión;;Capital Federal;Interés general;0
