"Nombre","Descripcion","Descripcion","Buenos Aires/Cantidad"
"La Plata","Religión","Radio","1.0"
"Laprida","Interés general","Radio","4.0"
"La Salada","Interés general","Radio","1.0"
"Las Flores","Interés general","Digital","1.0"
"Las Flores","Interés general","Periódico","2.0"
"Las Flores","Interés general","Radio","3.0"
"Las Flores","Interés general","Televisión","1.0"
"Las Flores","Música","Radio","1.0"
"Las Heras","Interés general","Radio","1.0"
"La Unión","*","Radio","1.0"
"La Unión","Interés general","Radio","1.0"
"Lezama","Interés general","Radio","1.0"
"Libertad","*","Radio","1.0"
"Libertad","Interés general","Digital","1.0"
"Libertad","Interés general","Periódico","1.0"
"Libertad","Interés general","Radio","2.0"
"Lima","Interés general","Radio","1.0"
"Lincoln","Deportes","Digital","1.0"
"Lincoln","Deportes","Periódico","1.0"
"Lincoln","Interés general","Digital","4.0"
"Lincoln","Interés general","Periódico","3.0"
"Lincoln","Interés general","Radio","11.0"
"Lincoln","Música","Radio","2.0"
"Llavallol","Interés general","Radio","1.0"
"Lobería","Interés general","Digital","1.0"
"Lobería","Interés general","Radio","3.0"
"Lobos","Interés general","Digital","5.0"
"Lobos","Interés general","Periódico","6.0"
"Lobos","Interés general","Radio","4.0"
"Lobos","Interés general","Televisión","1.0"
"Lobos","Música","Radio","4.0"
"Loma Hermosa","Interés general","Radio","1.0"
"Lomas del Mirador","*","Digital","1.0"
"Lomas del Mirador","*","Radio","1.0"
"Lomas del Mirador","Interés general","Periódico","1.0"
"Lomas del Mirador","Interés general","Radio","1.0"
"Lomas del Mirador","Interés general","Televisión","1.0"
"Lomas del Mirador","Religión","Radio","1.0"
"Lomas de Zamora","*","Revista","1.0"
"Lomas de Zamora","Deportes","Digital","5.0"
"Lomas de Zamora","Diexismo","Revista","1.0"
"Lomas de Zamora","Interés general","Agencia","2.0"
"Lomas de Zamora","Interés general","Digital","8.0"
"Lomas de Zamora","Interés general","Periódico","1.0"
"Lomas de Zamora","Interés general","Radio","7.0"
"Longchamps","Folclore","Radio","1.0"
"Longchamps","Interés general","Radio","1.0"
"Longchamps","Religión","Radio","1.0"
"Los Polvorines","Interés general","Radio","2.0"
"Los Toldos","Interés general","Periódico","1.0"
"Los Toldos","Interés general","Radio","2.0"
"Los Toldos","Religión","Radio","1.0"
"Lucila del Mar","Interés general","Radio","1.0"
"Luis Guillon","Interés general","Radio","1.0"
"Luján","Agropecuario","Periódico","1.0"
"Luján","Deportes","Digital","1.0"
"Luján","Interés general","Digital","8.0"
"Luján","Interés general","Periódico","7.0"
"Luján","Interés general","Radio","9.0"
"Luján","Música","Radio","2.0"
"Magdalena","Interés general","Radio","1.0"
"Maipú","Interés general","Digital","2.0"
"Maipú","Interés general","Periódico","2.0"
"Maipú","Interés general","Radio","1.0"
"Malvinas Argentinas","Interés general","Digital","1.0"
"Malvinas Argentinas","Interés general","Radio","1.0"
"Marcos Paz","Interés general","Periódico","3.0"
"Marcos Paz","Interés general","Radio","1.0"
"Marcos Paz","Interés general","Televisión","1.0"
"Mar de Ajó","Interés general","Radio","6.0"
"Mar de Ajó","Interés general","Televisión","1.0"
"Mar de las Pampas","Interés general","Radio","3.0"
"Mar del Plata","*","Radio","2.0"
"Mar del Plata","*","Revista","2.0"
"Mar del Plata","Decoración","Revista","1.0"
"Mar del Plata","Deportes","Digital","3.0"
"Mar del Plata","Educación","Digital","1.0"
"Mar del Plata","Interés general","Digital","16.0"
"Mar del Plata","Interés general","Periódico","5.0"
"Mar del Plata","Interés general","Radio","41.0"
"Mar del Plata","Interés general","Revista","2.0"
"Mar del Plata","Interés general","Televisión","5.0"
"Mar del Plata","Música","Radio","4.0"
"Mar del Plata","Religión","Radio","1.0"
"Mar del Plata","Turismo","Digital","4.0"
"Mar del Plata","Turismo","Revista","1.0"
"Mar del Tuyú","Interés general","Digital","1.0"
"Mar del Tuyú","Interés general","Periódico","2.0"
"Mariano H. Alfonzo","Interés general","Radio","1.0"
"Martín Coronado","*","Revista","1.0"
"Martínez","*","Revista","2.0"
"Martínez","Deportes","Revista","1.0"
"Martínez","Entretenimiento","Digital","1.0"
"Martínez","Interés general","Radio","3.0"
"Martínez","Interés general","Revista","1.0"
"Martínez","Música","Radio","1.0"
"Martinez de Hoz","Interés general","Radio","1.0"
"Martínez, San Isidro","Interés general","Radio","1.0"
"Mechita","*","Radio","1.0"
"Mechongué","Interés general","Radio","1.0"
"Mercedes","Interés general","Digital","11.0"
"Mercedes","Interés general","Periódico","9.0"
"Mercedes","Interés general","Radio","11.0"
"Mercedes","Interés general","Televisión","5.0"
"Mercedes","Música","Radio","1.0"
"Merlo","*","Digital","1.0"
"Merlo","Interés general","Periódico","1.0"
"Merlo","Interés general","Radio","5.0"
"Merlo","Música","Radio","1.0"
